QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
selenium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>com.thoughtworks.selenium,com.thoughtworks.selenium,medium-high,low-medium,medium-high,low,,,,,,616,1491,,,,,,,,,,,,,15,12,3,1491,34,6,0.267,0.15,0.583,616,,,,,,,
com.thoughtworks.selenium.BrowserConfigurationOptions,BrowserConfigurationOptions,low-medium,low,low-medium,low,0,34,16,1,0,28,84,73,1,9,23,0,0,0.9,0.522,0.79,0,0,,,,,84,,,,,,28,,,,,,,
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.public BrowserConfigurationOptions( ): void,BrowserConfigurationOptions( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.protected canUse( String ): boolean,canUse( String ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,0
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.public get( String ): String,get( String ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.protected getBrowserExecutablePath( ): String,getBrowserExecutablePath( ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,1,2
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.protected getBrowserMode( ): String,getBrowserMode( ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,1,2
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.public getCommandLineFlags( ): String,getCommandLineFlags( ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,1,1
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.protected getProfile( ): String,getProfile( ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,1,2
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.protected getTimeoutInSeconds( ): int,getTimeoutInSeconds( ): int,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,4,0,2,3
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.public hasOptions( ): boolean,hasOptions( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,1,1
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.protected isMultiWindow( ): boolean,isMultiWindow( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,1,1
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.public isSet( String ): boolean,isSet( String ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,1,1,2
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.protected isSingleWindow( ): boolean,isSingleWindow( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,1,1
"<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.private put( String, String ): void","put( String, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,2,1
<Method>com.thoughtworks.selenium.BrowserConfigurationOptions.public serialize( ): String,serialize( ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,10,0,7,2
