QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
apm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>,,low,low,low,low,,,,,,0,60,,,,,,,,,,,,,1,1,0,60,0,0,0,1,0,0,,,,,,,
MavenWrapperDownloader,MavenWrapperDownloader,low,low,low-medium,low,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,,,,,60,,,,,,0,,,,,,,
<Anonymous> : LMavenWrapperDownloader$4375;,LMavenWrapperDownloader$4375;,low,low,low,low,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,4,,,,,,0,,,,,,,
<Package>$,$,low,low,low,low,,,,,,0,13,,,,,,,,,,,,,1,1,0,13,0,0,0,1,0,0,,,,,,,
$.CaseController,CaseController,low,low,low,low,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,,,,,13,,,,,,0,,,,,,,
<Package>$package,$package,low,low,low,low,,,,,,0,25,,,,,,,,,,,,,3,3,0,25,0,0,0,1,0,0,,,,,,,
$package.Application,Application,low,low,low,low,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,,6,,,,,,0,,,,,,,
$package.CaseServlet,CaseServlet,low,low,low,low,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,,,,,10,,,,,,0,,,,,,,
$package.HealthCheckServlet,HealthCheckServlet,low,low,low,low,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,,,,9,,,,,,0,,,,,,,
<Package>org.apache.skywalking.amp.testcase.undertow,org.apache.skywalking.amp.testcase.undertow,low,low,low,low,,,,,,5,45,,,,,,,,,,,,,1,1,0,45,0,0,0,1,0,5,,,,,,,
